station_id,district,fuel_type,hour_of_day,day_of_week,is_weekend,is_payday_week,is_rainy,nearby_shortage_index,current_queue_length,active_pumps,active_nozzles,avg_service_time_sec_15m,arrivals_last_15m,departures_last_15m,reservations_next_30m,walk_in_ratio,stock_litres,delivery_eta_minutes,pump_fault_count,complaints_last_24h,manual_overrides_last_24h,queue_length_30m,wait_time_minutes,stockout_minutes,congestion_level
01J5SMARTLINKBLANTYRE00001,Blantyre,PETROL,7,1,false,false,false,0.35,12,3,3,190,9,8,5,0.70,18500,360,0,1,0,14,18.5,680,LOW
01J5SMARTLINKBLANTYRE00001,Blantyre,PETROL,17,1,false,false,false,0.62,31,2,2,250,19,7,15,0.74,9400,420,1,5,2,51,55.0,270,HIGH
01J6SLBTY00000000000000001,Blantyre,DIESEL,8,2,false,false,true,0.40,9,1,1,230,6,4,3,0.80,22000,180,0,0,1,14,32.0,920,LOW
01J6SLBTY00000000000000001,Blantyre,PETROL,18,5,true,true,false,0.88,46,2,2,285,26,6,22,0.78,5200,300,1,13,5,76,88.0,115,CRITICAL
SL-MW-LLWE-7882,Lilongwe,PETROL,9,3,false,false,false,0.30,8,4,4,170,7,10,2,0.62,31000,240,0,0,0,4,8.0,1100,LOW
SL-MW-LLWE-7882,Lilongwe,PETROL,16,4,false,false,false,0.55,24,3,3,210,16,11,9,0.68,15000,360,0,3,1,34,28.0,430,MEDIUM
OSM-MW-FUEL-N-11324758269,Lilongwe,DIESEL,12,4,false,false,false,0.20,5,2,2,180,4,6,1,0.85,26000,120,0,0,0,2,7.5,1400,LOW
OSM-MW-FUEL-N-11324758269,Lilongwe,PETROL,19,5,true,true,false,0.73,39,2,2,260,23,8,19,0.76,7100,480,0,8,3,62,67.0,190,HIGH
SL-MW-RUMP-3013,Rumphi,PETROL,7,1,false,false,true,0.42,15,2,2,225,11,6,6,0.70,13200,300,0,2,1,25,32.5,390,MEDIUM
SL-MW-RUMP-3013,Rumphi,DIESEL,14,2,false,false,false,0.28,4,1,1,210,3,4,1,0.90,18000,600,0,0,0,3,12.0,1150,LOW
OSM-MW-FUEL-N-4849594393,Zalewa,PETROL,10,3,false,false,false,0.52,18,2,2,235,12,7,7,0.71,10200,250,0,4,1,28,36.0,310,MEDIUM
OSM-MW-FUEL-N-4849594393,Zalewa,PETROL,17,5,true,false,false,0.66,33,2,2,260,20,7,14,0.75,8400,420,1,6,2,53,61.0,230,HIGH
01J6SLBTY00000000000000002,Blantyre,PETROL,6,0,false,false,false,0.25,6,3,3,175,5,7,2,0.65,24000,180,0,0,0,4,7.0,1260,LOW
01J6SLBTY00000000000000002,Blantyre,DIESEL,15,0,false,false,false,0.38,11,2,2,205,8,6,4,0.82,19500,360,0,1,0,15,20.5,870,LOW
